title,주소,Latitude,Longitude
광주 쌍촌해법수학학원,"광주 서구 상일로 55 (쌍촌동, 호반리젠시빌)",35.1604899,126.8626834
광주 양벌초교점,"경기 광주시 오포읍 마루들길 248 (양벌리, 양벌리 우림아파트)",37.3770573,127.2595311
광주 양산자이1차점,"광주 북구 양산로71번길 8 (양산동, 지에스그린자이1차아파트)",35.2104214,126.8826919
광주 역동초교점,경기 광주시 순암로36번길 87,37.3988622,127.2454169
광주 연제현대점,광주 북구 연제동 36-1,35.1988844,126.8713205
광주 오포 신능점,경기 광주시 능평로 201,37.3452407,127.1772728
광주 오포더샵점,경기 광주시 오포읍 고산리 352-2,37.376921,127.2297833
광주 온새미로수학점,"광주 광산구 선운로 55 (선암동, 광주 선운지구 이지더원 3단지)",35.1505303,126.7751222
광주 용산점,광주 동구 용산1로 4 (용산동),35.1191432,126.9241905
광주 우산중흥s센트럴점,"광주 광산구 금봉로 106 (우산동, 세계수영선수촌 중흥에스-클래스 센트럴)",35.1510576,126.8119023
광주 운남금구점,"광주 광산구 사암로340번길 47 (월곡동, 소진비엔비빌딩)",35.1753574,126.8113828
광주 운암나산점,광주 북구 북문대로169번길 16,35.1832572,126.8695606
광주 운암엠탐수학학원,광주 북구 황계로55번길 2 (운암동),35.1779158,126.8761575
광주 운암점,광주 북구 북문대로159번길 17,35.1823547,126.8710502
광주 일곡대우점,"광주 북구 일곡택지로 50-1 (일곡동, 대우아파트)",35.2058739,126.8950403
광주 지산영수학원,광주 동구 밤실로30번길 4-7 (지산동),35.1497599,126.9376142
광주 진월한신1차점,"광주 남구 광복마을4길 9 (진월동, 한신1차아파트)",35.1202472,126.8973464
광주 첨단영재점,광주 광산구 월계동 777-2,35.2114777,126.8334652
광주 초월 도곡초점,경기 광주시 초월읍 경충대로 1023-22 (쌍동리),37.3686342,127.2910966
광주 타임수학전문학원점,광주 광산구 월계로 191 (월계동),35.2136546,126.846476
광주 탄벌점,"경기 광주시 벌원길 61-1 (탄벌동, 탄벌리 현대아파트 상가)",37.4168913,127.2476142
광주 태전동 힐스테이트점,경기 광주시 태전동로 50 (태전동),37.3846503,127.231981
광주 태전성원점,"경기 광주시 태봉로 61 (태전동, 2단지성원아파트)",37.3879866,127.2303144
광주 하남월곡점,광주 광산구 우산동 1586-9,35.1632902,126.8096953
광주 한쌤독수리점,광주 남구 진월동 500-33,35.1120286,126.8994898
광주 한아람초교점,"경기 광주시 태성로 107 (태전동, 힐스테이트 태전)",37.3859632,127.2311214
광주 효성해링턴점,"경기 광주시 고불로 87 (태전동, 태전 효성해링턴 플레이스)",37.3918541,127.2282028
광주 효천정수학학원,광주 남구 임암동 867,35.101919,126.8744506
광주 효천해법학원,광주 남구 행암동 584,35.1023528,126.888217
광주 힐스테이트3단지,"광주 서구 화운로 24 (화정동, 유니버시아드 힐스테이트 3단지)",35.1440963,126.8847585
광주에듀마스터학원,광주 서구 유림로98번길 41 (동천동),35.1711006,126.8684058
광진 광장앤스마일학원점,서울 광진구 광장로 47 (광장동),37.5470571,127.1024621
광진 구의아카데미점,서울 광진구 구의동 641-3,37.5435372,127.0816888
광진 능동점,서울 광진구 능동 238-3,37.5545176,127.0838038
광진 동자초점,서울 광진구 자양번영로 46 (자양동),37.5336367,127.0760645
광진 용마초교점,서울 광진구 중곡동 138-35,37.5573684,127.0829801
광진 자양다온학원점,서울 광진구 자양동 648-12,37.5296052,127.0808128
광진 자양신양초교점,서울 광진구 능동로6길 22 (자양동),37.539657,127.0683389
광진 자양초교점,서울 광진구 아차산로44가길 10 (자양동),37.5360693,127.079545
광진 자양현대3차점,"서울 광진구 뚝섬로56가길 10 (자양동, 자양현대3차아파트)",37.5282914,127.0835437
광진 중곡리더스해법학원,"서울 광진구 용마산로22길 16 (중곡동, 동인빌딩)",37.5657943,127.0867908
광진 중곡한가람학원점,"서울 광진구 영화사로 19 (중곡동, 영재빌딩)",37.5576212,127.0895978
