행정구역(시군구)별(1),행정구역(시군구)별(2),2017년 평균급여(백만원),2018년 평균급여(백만원),2019년 평균급여(백만원),2020년 평균급여(백만원),2021년 평균급여(백만원),2022년 평균급여_예측값(백만원)
전라북도,부안군,27.259695347879784,28.08283449280052,29.10601048810004,28.708232350871707,30.150183436109597,31.19389
전라북도,순창군,28.686644087763217,30.071588033933622,31.36025489033788,32.81533959648853,33.22891023716602,35.833897
전라북도,완주군,31.86063202607199,32.71998098094437,33.42707816596981,33.51118813919967,35.10212566217394,35.180096
전라북도,익산시,29.934225157904105,31.078252414311287,31.982139929390417,32.4707616496132,33.885228559827326,35.79942
전라북도,임실군,30.00855092380516,31.063233277464573,31.008011869436203,31.91773391592587,32.89162929745889,34.270096
전라북도,장수군,29.54032586558045,30.40414710485133,30.019708167519426,31.03402791053336,31.67597765363129,32.633068
전라북도,전주시,33.917240044012715,35.236092900017695,36.10474672165592,36.63974298410999,37.88852741129231,39.84482
전라북도,정읍시,28.05563026399604,29.39394250865111,30.5685206230363,30.657678363330312,31.77871783411021,33.37181
전라북도,진안군,29.405451740099437,30.358610322365124,30.83471612168537,30.899604117181315,32.59543836945972,33.923992
전라남도,강진군,29.762295081967213,30.63879386798429,31.39911144020733,31.82807570977918,33.30416364076495,35.04115
전라남도,고흥군,27.79272882805817,28.96958111702128,29.46646118906643,30.53318280783808,31.317409934930964,33.097435
전라남도,곡성군,32.161555392516505,32.87669018224574,32.85864705033896,33.6987573203828,34.39816104764559,35.282883
전라남도,광양시,38.69378656445431,41.02150685200071,41.50648860721292,42.5368426949507,44.87360725457805,47.46876
전라남도,구례군,27.873138957816376,29.43267871170464,29.828241895261847,30.552824023650224,32.89477102955505,35.585133
전라남도,나주시,31.35453684301174,32.461486192650575,33.515815021660835,34.714175693133264,36.36204695020135,38.42506
전라남도,담양군,30.434500328731097,31.70428203477141,31.6179444612134,33.378473237788825,35.17892571092659,37.733273
전라남도,목포시,29.026455263432915,30.22616643325717,31.461248732435173,31.70028367973137,32.534982719379585,34.172398
